Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691297
,EXR.D.ARS.EUR.SP00.A,EXR.D.DZD.EUR.SP00.A,EXR.D.MAD.EUR.SP00.A,EXR.D.TWD.EUR.SP00.A
2016-05-12,16.17350,124.4060,10.9720,37.101
2016-05-11,16.23040,124.7408,10.9785,37.126
2016-05-10,16.18440,124.4933,10.9646,37.021
2016-05-09,16.20480,124.6396,10.9725,37.026
2016-05-06,16.26800,124.6423,10.9860,37.039
2016-05-05,16.29200,124.8862,10.9890,37.029
2016-05-04,16.33540,125.3008,11.0135,37.204
2016-05-03,16.40430,125.5468,11.0355,37.308
2016-05-02,16.41780,125.1287,11.0105,37.060
2016-04-29,16.33480,124.3725,10.9780,36.806
2016-04-28,16.17950,123.9394,10.9580,36.641
2016-04-27,16.18480,123.4953,10.9390,36.579
2016-04-26,16.15730,123.3100,10.9315,36.469
2016-04-25,16.12780,123.1698,10.9250,36.425
2016-04-22,16.07620,123.0332,10.9245,36.407
2016-04-21,16.29390,123.7950,10.9576,36.614
2016-04-20,16.12860,123.7388,10.9665,36.610
2016-04-19,16.02200,123.3532,10.9545,36.451
2016-04-18,15.87080,123.0232,10.9405,36.583
2016-04-15,16.16320,122.8602,10.9335,36.524
2016-04-14,16.19110,122.4859,10.9215,36.434
2016-04-13,16.38210,122.7660,10.9390,36.598
2016-04-12,16.54190,123.2441,10.9745,36.839
2016-04-11,16.47560,123.1418,10.9720,36.862
2016-04-08,16.44790,122.8803,10.9624,36.840
2016-04-07,16.59710,122.7714,10.9625,36.865
2016-04-06,16.64690,122.7207,10.9525,36.811
2016-04-05,16.73050,123.0250,10.9640,36.874
2016-04-04,16.82930,123.2731,10.9682,36.797
2016-04-01,16.80220,123.6296,10.9845,36.880
2016-03-31,16.66590,123.4725,10.9715,36.590
2016-03-30,16.57720,123.4083,10.9485,36.450
2016-03-29,16.58500,122.5440,10.8990,36.471
2016-03-24,16.17550,122.6672,10.8840,36.243
2016-03-23,16.08620,122.8730,10.8880,36.339
2016-03-22,16.23780,123.3437,10.9035,36.363
2016-03-21,16.65120,123.8421,10.9275,36.477
2016-03-18,16.82770,124.2120,10.9310,36.460
2016-03-17,16.51410,124.3781,10.9430,36.620
2016-03-16,16.07600,121.9493,10.8493,36.334
2016-03-15,16.41910,122.3182,10.8665,36.515
2016-03-14,16.51620,122.3779,10.8705,36.291
2016-03-11,17.02320,122.3252,10.8600,36.282
2016-03-10,16.68120,118.5757,10.7690,35.689
2016-03-09,16.89840,119.4858,10.8135,36.027
2016-03-08,16.99410,119.7712,10.8340,36.135
2016-03-07,16.70330,119.2799,10.8070,35.799
2016-03-04,16.65250,119.4628,10.8140,35.897
2016-03-03,17.06010,118.6778,10.7860,35.875
2016-03-02,17.14160,118.2398,10.7690,35.939
2016-03-01,17.19950,118.2513,10.7760,35.985
2016-02-29,16.95810,118.3155,10.7824,36.243
2016-02-26,16.99110,118.3387,10.8276,36.561
2016-02-25,16.92310,118.3245,10.8372,36.631
2016-02-24,16.83170,117.7156,10.8175,36.631
2016-02-23,16.79790,117.3791,10.8285,36.611
2016-02-22,16.60680,117.5230,10.8335,36.620
2016-02-19,16.65500,117.9875,10.8645,36.979
2016-02-18,16.54290,117.8896,10.8580,36.864
2016-02-17,16.48350,118.2648,10.8790,37.149
2016-02-16,16.51000,118.4459,10.8894,37.008
2016-02-15,16.51900,118.5097,10.8940,37.019
2016-02-12,16.43210,119.1346,10.9290,37.226
2016-02-11,16.41280,119.6601,10.9580,37.419
2016-02-10,16.05810,119.0201,10.9245,37.239
2016-02-09,16.04380,118.9887,10.9155,37.446
2016-02-08,15.86990,117.9298,10.8640,37.095
2016-02-05,15.90010,118.8560,10.9010,37.051
2016-02-04,15.80680,118.7626,10.8970,37.215
2016-02-03,15.47570,117.0916,10.7980,36.711
2016-02-02,15.44220,116.9881,10.7885,36.539
2016-02-01,15.13200,116.8648,10.7750,36.355
2016-01-29,15.17330,116.9423,10.7870,36.498
2016-01-28,15.12600,116.8816,10.7825,36.633
2016-01-27,15.10520,116.8511,10.7795,36.547
2016-01-26,14.97000,116.4129,10.7554,36.337
2016-01-25,14.79140,116.3535,10.7540,36.230
2016-01-22,14.67190,116.4621,10.7440,36.201
2016-01-21,14.67290,116.8174,10.7825,36.759
2016-01-20,14.67310,117.0444,10.7898,36.872
2016-01-19,14.69730,116.7998,10.7685,36.417
2016-01-18,14.58000,116.8507,10.7800,36.579
2016-01-15,14.46800,117.1591,10.7960,36.718
2016-01-14,14.75000,116.8092,10.7860,36.488
2016-01-13,14.61840,116.3838,10.7540,36.050
2016-01-12,14.85640,116.3841,10.7630,36.190
2016-01-11,15.10160,116.6867,10.7849,36.299
2016-01-08,15.09050,116.7615,10.7740,36.117
2016-01-07,15.07570,116.7433,10.7773,36.216
2016-01-06,14.62680,115.7405,10.7310,35.710
2016-01-05,14.16710,115.8079,10.7268,35.566
2016-01-04,14.25190,116.8244,10.7920,36.071
2015-12-31,14.09530,116.5988,10.7845,35.790
2015-12-30,14.16820,117.0618,10.8025,35.989
2015-12-29,14.22120,117.1796,10.8180,36.034
2015-12-28,14.39530,117.1434,10.8185,35.996
2015-12-24,14.27270,117.1436,10.8331,35.904
2015-12-23,14.19310,116.9068,10.7970,35.833
2015-12-22,14.11840,117.0423,10.8042,35.939
2015-12-21,14.27010,116.6785,10.7630,35.770
2015-12-18,14.68280,116.5710,10.7528,35.666
2015-12-17,10.63610,116.3724,10.7608,35.703
2015-12-16,10.69240,117.0502,10.7918,35.768
2015-12-15,10.74330,117.2092,10.8210,35.926
2015-12-14,10.72240,117.3368,10.8124,36.103
2015-12-11,10.67030,116.9711,10.7974,35.988
2015-12-10,10.64260,116.9611,10.7931,35.840
2015-12-09,10.61190,117.0584,10.7930,35.961
2015-12-08,10.55540,116.6141,10.7650,35.867
2015-12-07,10.50590,116.1563,10.7520,35.523
2015-12-04,10.55830,116.9263,10.7805,35.726
2015-12-03,10.32850,115.3284,10.6975,35.019
2015-12-02,10.27410,114.9709,10.6611,34.708
2015-12-01,10.28900,114.8010,10.6661,34.626
2015-11-30,10.26720,114.6984,10.6547,34.570
2015-11-27,10.24750,114.4357,10.6595,34.580
2015-11-26,10.25760,114.8407,10.6679,34.521
2015-11-25,10.23470,114.6793,10.6525,34.430
2015-11-24,10.26610,114.9698,10.6892,34.730
2015-11-23,10.25420,114.9259,10.6695,34.706
2015-11-20,10.31800,115.2823,10.6989,34.779
2015-11-19,10.30550,115.1053,10.6910,34.859
2015-11-18,10.27700,115.2188,10.6815,34.962
2015-11-17,10.27730,115.2419,10.6940,34.956
2015-11-16,10.34100,115.5965,10.7065,35.212
2015-11-13,10.33560,116.0343,10.7308,35.371
2015-11-12,10.26590,115.5297,10.7135,35.143
2015-11-11,10.25770,115.6029,10.7000,35.021
2015-11-10,10.26250,115.4824,10.6975,35.095
2015-11-09,10.31440,116.0451,10.7230,35.339
2015-11-06,10.35620,116.2907,10.7610,35.317
2015-11-05,10.38640,116.4657,10.7670,35.342
2015-11-04,10.42520,116.8400,10.7870,35.376
2015-11-03,10.46550,117.1992,10.8025,35.635
2015-11-02,10.48390,117.4886,10.8277,35.885
2015-10-30,10.48200,117.6830,10.8194,35.723
2015-10-29,10.40630,116.8474,10.7884,35.643
2015-10-28,10.52720,118.0524,10.8466,36.028
2015-10-27,10.53030,117.8342,10.8433,35.861
2015-10-26,10.47820,117.3539,10.8187,35.614
2015-10-23,10.53960,118.1521,10.8518,35.910
2015-10-22,10.75640,119.3391,10.9315,36.674
2015-10-21,10.74540,119.7470,10.9488,36.818
2015-10-20,10.79230,119.6852,10.9615,36.797
2015-10-19,10.75510,119.6488,10.9455,36.659
2015-10-16,10.76460,119.9104,10.9545,36.639
2015-10-15,10.82240,120.3147,10.9748,36.501
2015-10-14,10.80470,120.1382,10.9750,37.121
2015-10-13,10.68720,119.7128,10.9622,36.983
2015-10-12,10.72970,119.6251,10.9534,36.726
2015-10-09,10.67850,120.0395,10.9460,36.636
2015-10-08,10.56110,118.8893,10.9068,36.649
2015-10-07,10.62580,119.1657,10.9126,36.486
2015-10-06,10.58570,118.8416,10.8972,36.617
2015-10-05,10.58880,118.6803,10.9010,36.481
2015-10-02,10.52110,118.6283,10.8730,36.754
2015-10-01,10.51250,118.5025,10.8715,36.595
2015-09-30,10.55770,118.7229,10.8904,36.834
2015-09-29,10.54960,118.7318,10.8900,37.044
2015-09-28,10.51940,118.6091,10.8780,37.080
2015-09-25,10.47920,118.4443,10.8704,36.793
2015-09-24,10.56070,119.2143,10.9056,37.334
2015-09-23,10.47200,118.2274,10.8702,36.532
2015-09-22,10.48850,118.4498,10.8825,36.642
2015-09-21,10.58200,118.8188,10.9070,36.718
2015-09-18,10.70940,120.3377,10.9680,36.836
2015-09-17,10.61000,119.3321,10.9300,36.682
2015-09-16,10.52240,118.8027,10.8970,36.463
2015-09-15,10.59310,119.4509,10.9325,36.767
2015-09-14,10.57510,119.2662,10.9290,36.744
2015-09-11,10.54450,118.8483,10.9140,36.652
2015-09-10,10.44940,118.7055,10.8850,36.270
2015-09-09,10.39500,118.3380,10.8670,36.226
2015-09-08,10.39130,118.5242,10.8750,36.409
2015-09-07,10.39570,118.3753,10.8665,36.507
2015-09-04,10.37890,118.3944,10.8604,36.231
2015-09-03,10.45320,118.8782,10.8951,36.569
2015-09-02,10.48130,119.1127,10.9060,36.611
2015-09-01,10.44800,118.8509,10.9075,36.463
2015-08-31,10.42900,118.7784,10.8875,36.452
2015-08-28,10.46720,119.3926,10.9108,36.454
2015-08-27,10.47490,119.1504,10.9165,36.448
2015-08-26,10.57790,119.8884,10.9710,37.000
2015-08-25,10.66640,120.6494,10.9985,37.252
2015-08-24,10.65430,120.3347,10.9936,37.980
2015-08-21,10.44380,118.3563,10.9125,36.799
2015-08-20,10.36500,117.7450,10.8745,36.444
2015-08-19,10.21030,116.6325,10.8215,35.873
2015-08-18,10.24760,116.6362,10.8290,35.873
2015-08-17,10.25700,117.0178,10.8459,35.995
2015-08-14,10.31830,117.2493,10.8705,35.899
2015-08-13,10.25660,115.2887,10.8495,35.763
2015-08-12,10.29120,113.5773,10.8650,35.755
2015-08-11,10.19250,111.6663,10.8254,35.618
2015-08-10,10.12330,110.8622,10.7905,34.675
2015-08-07,10.07930,110.3555,10.7828,34.621
2015-08-06,10.02460,109.5612,10.7650,34.478
2015-08-05,10.02000,108.3991,10.7623,34.471
2015-08-04,10.10510,108.9726,10.7945,34.642
2015-08-03,10.08150,108.8744,10.7866,34.729
2015-07-31,10.08890,108.9964,10.7935,34.757
2015-07-30,10.05740,108.8270,10.7875,34.589
2015-07-29,10.11480,109.4859,10.8190,34.671
2015-07-28,10.13430,109.4878,10.8155,34.763
2015-07-27,10.15580,109.7873,10.8305,35.030
2015-07-24,10.03590,109.1112,10.7815,34.464
2015-07-23,10.08400,109.4189,10.8050,34.344
2015-07-22,10.00660,108.8468,10.7710,34.037
2015-07-21,9.96090,108.7335,10.7685,33.914
2015-07-20,9.90530,108.8258,10.7376,33.903
2015-07-17,9.94170,109.0889,10.7514,33.850
2015-07-16,9.92210,108.7869,10.7680,33.814
2015-07-15,10.05290,109.5670,10.8085,34.154
2015-07-14,10.06630,109.7056,10.8190,34.275
2015-07-13,10.08640,109.6727,10.8233,34.300
2015-07-10,10.20650,110.5343,10.8775,34.666
2015-07-09,10.07840,109.8490,10.8270,34.288
2015-07-08,10.03500,109.6920,10.8060,34.180
2015-07-07,9.96690,108.9695,10.7685,33.929
2015-07-06,10.01890,109.3385,10.7975,34.047
2015-07-03,10.10280,109.8063,10.8380,34.290
2015-07-02,10.06610,109.8269,10.8260,34.212
2015-07-01,10.09960,109.8951,10.8410,34.336
2015-06-30,10.16790,110.5738,10.8720,34.564
2015-06-29,10.12490,110.3445,10.8500,34.446
2015-06-26,10.18000,110.7562,10.8680,34.729
2015-06-25,10.16160,110.7069,10.8686,34.656
2015-06-24,10.15840,110.8110,10.8890,34.678
2015-06-23,10.15450,110.4859,10.8865,34.561
2015-06-22,10.31350,111.3377,10.9390,34.889
2015-06-19,10.23140,111.2998,10.9250,34.779
2015-06-18,10.34790,111.7497,10.9605,35.013
2015-06-17,10.21980,110.6845,10.9115,34.856
2015-06-16,10.13490,110.1440,10.8771,34.703
2015-06-15,10.14190,110.2499,10.9079,34.704
2015-06-12,10.13340,110.4462,10.8990,34.700
2015-06-11,10.14620,110.1217,10.8803,34.781
2015-06-10,10.18260,110.2349,10.9250,34.871
2015-06-09,10.15690,110.3025,10.9140,34.940
2015-06-08,10.09200,109.8167,10.8530,34.763
2015-06-05,10.11810,110.1610,10.9040,34.681
2015-06-04,10.19540,110.7164,10.9390,34.940
2015-06-03,10.02650,110.1772,10.8560,34.299
2015-06-02,9.93760,109.6092,10.8230,34.059
2015-06-01,9.85850,108.9951,10.7850,33.717
2015-05-29,9.87000,108.9500,10.7621,33.479
2015-05-28,9.78710,108.4356,10.7526,33.411
2015-05-27,9.75200,108.3479,10.7685,33.337
2015-05-26,9.83850,108.8112,10.7925,33.403
2015-05-25,9.88000,109.0294,10.7621,33.479
2015-05-22,10.01650,110.2998,10.8730,33.961
2015-05-21,9.98100,109.9769,10.8610,33.876
2015-05-20,9.94380,109.9180,10.8545,33.955
2015-05-19,10.00690,110.1915,10.8770,34.035
2015-05-18,10.20030,111.4239,10.9555,34.682
2015-05-15,10.13790,111.1604,10.9340,34.634
2015-05-14,10.22180,111.7033,10.9569,34.861
2015-05-13,10.02640,110.0782,10.8839,34.385
2015-05-12,10.04820,110.1101,10.8975,34.548
2015-05-11,9.96020,109.3320,10.8620,34.259
2015-05-08,10.01600,109.7981,10.8900,34.439
2015-05-07,10.10600,109.5464,10.9158,34.814
2015-05-06,9.99860,109.1861,10.8877,34.420
2015-05-05,9.89800,108.5055,10.8424,34.144
2015-05-04,9.94590,108.7490,10.8557,34.251
2015-04-30,9.98550,108.8462,10.8795,34.265
2015-04-29,9.79910,107.2279,10.7990,33.529
2015-04-28,9.73420,106.6695,10.7905,33.298
2015-04-27,9.63720,106.0409,10.7510,33.091
2015-04-24,9.63270,105.9939,10.7510,33.377
2015-04-23,9.55690,105.9381,10.7115,33.443
2015-04-22,9.53230,105.4794,10.7066,33.358
2015-04-21,9.48880,105.3816,10.7085,33.299
2015-04-20,9.50810,105.3785,10.6999,33.336
2015-04-17,9.60480,106.1078,10.7355,33.500
2015-04-16,9.49890,105.3963,10.6958,33.334
2015-04-15,9.37610,104.6465,10.6614,33.086
2015-04-14,9.36000,104.3871,10.6447,33.021
2015-04-13,9.34790,104.3286,10.6417,33.031
2015-04-10,9.34650,104.3989,10.6601,33.029
2015-04-09,9.53020,105.4313,10.7030,33.517
2015-04-08,9.60660,105.9597,10.7211,33.722
2015-04-07,9.58390,105.7918,10.7365,33.671
2015-04-02,9.55870,105.4128,10.7187,33.692
2015-04-01,9.48560,104.9222,10.7155,33.642
2015-03-31,9.48320,105.0811,10.7155,33.619
2015-03-30,9.55920,105.4969,10.7365,33.944
2015-03-27,9.55790,105.5746,10.7235,33.885
2015-03-26,9.65220,105.6636,10.7625,34.259
2015-03-25,9.64450,105.3667,10.7482,34.315
2015-03-24,9.61320,104.9496,10.7446,34.217
2015-03-23,9.58920,105.0351,10.7350,34.192
2015-03-20,9.47560,104.2636,10.7225,33.934
2015-03-19,9.38670,103.5676,10.7010,33.630
2015-03-18,9.30780,103.0873,10.6655,33.410
2015-03-17,9.33980,103.3393,10.6885,33.523
2015-03-16,9.27370,102.9738,10.6750,33.435
2015-03-13,9.27870,102.9081,10.6624,33.516
2015-03-12,9.31290,103.2066,10.6747,33.542
2015-03-11,9.27890,102.9112,10.6643,33.538
2015-03-10,9.40940,103.6280,10.6969,33.979
2015-03-09,9.51080,104.3258,10.7253,34.248
2015-03-06,9.59100,105.0674,10.7449,34.446
2015-03-05,9.67760,105.6457,10.7683,34.848
2015-03-04,9.72240,105.9070,10.7801,34.937
2015-03-03,9.75300,106.1557,10.7879,35.084
2015-03-02,9.78940,106.5530,10.7986,35.243
2015-02-27,9.80270,106.5120,10.8023,35.355
2015-02-26,9.86670,106.9715,10.8165,35.477
2015-02-25,9.88860,107.1515,10.8215,35.718
2015-02-24,9.85880,107.0913,10.8194,35.928
2015-02-23,9.83210,106.8992,10.8325,35.850
2015-02-20,9.82190,106.7594,10.8163,35.882
2015-02-19,9.89640,107.4563,10.8359,36.076
2015-02-18,9.87200,107.2761,10.8349,36.039
2015-02-17,9.90940,107.5046,10.8585,36.012
2015-02-16,9.90270,107.5091,10.8575,35.868
2015-02-13,9.87000,107.2733,10.8432,35.700
2015-02-12,9.81970,106.5798,10.8328,35.673
2015-02-11,9.80360,106.5746,10.8302,35.750
2015-02-10,9.79000,105.8661,10.8360,35.644
2015-02-09,9.76470,105.5559,10.8315,35.596
2015-02-06,9.91000,106.6380,10.8600,35.978
2015-02-05,9.87020,106.4885,10.8580,35.965
2015-02-04,9.90190,106.6288,10.8605,35.962
2015-02-03,9.84140,105.5755,10.8457,35.898
2015-02-02,9.76390,105.0467,10.8335,35.773
2015-01-30,9.75730,104.9262,10.8318,35.833
2015-01-29,9.76510,104.5249,10.8335,35.697
2015-01-28,9.78820,104.5862,10.8450,35.427
2015-01-27,9.75480,104.4153,10.8375,35.176
2015-01-26,9.68330,103.7578,10.8212,35.230
2015-01-23,9.65380,102.4796,10.8130,35.051
2015-01-22,10.00600,102.5905,10.8980,36.511
2015-01-21,9.98300,102.5992,10.8895,36.486
2015-01-20,9.96370,102.3431,10.8865,36.679
2015-01-19,9.98090,102.5462,10.8905,36.552
2015-01-16,9.96100,102.3641,10.8975,36.501
2015-01-15,10.05830,103.0089,10.9145,37.053
2015-01-14,10.11530,103.5027,10.9267,37.468
2015-01-13,10.12070,103.4011,10.9315,37.556
2015-01-12,10.13900,103.7052,10.9332,37.646
2015-01-09,10.14560,103.9706,10.9365,37.714
2015-01-08,10.08870,104.0306,10.9312,37.656
2015-01-07,10.11310,104.3825,10.9335,37.839
2015-01-06,10.18830,104.8682,10.9485,38.140
2015-01-05,10.19630,104.8725,10.9432,38.138
2015-01-02,10.30000,105.8756,10.9965,38.267
2014-12-31,10.28000,106.7437,10.9919,38.440
2014-12-30,10.40110,106.8491,11.0040,38.572
2014-12-29,10.42930,107.0679,11.0075,38.782
2014-12-24,10.45950,107.1298,11.0015,38.845
2014-12-23,10.44270,106.7856,11.0060,38.762
2014-12-22,10.48210,106.9201,11.0105,38.741
2014-12-19,10.49980,107.1487,11.0073,38.676
2014-12-18,10.50000,105.8067,11.0135,38.558
2014-12-17,10.64370,107.2009,11.0336,39.009
2014-12-16,10.72000,107.5201,11.0486,39.125
2014-12-15,10.62860,107.5741,11.0479,38.914
2014-12-12,10.64910,107.7099,11.0415,38.965
2014-12-11,10.63000,107.4679,11.0302,38.785
2014-12-10,10.59890,107.4871,11.0250,38.658
2014-12-09,10.56930,107.4672,11.0275,38.550
2014-12-08,10.47200,106.8636,11.0022,38.212
2014-12-05,10.57000,107.3849,11.0160,38.472
2014-12-04,10.51790,107.0103,11.0109,38.339
2014-12-03,10.52200,107.0272,11.0319,38.346
2014-12-02,10.59920,107.1749,11.0288,38.627
2014-12-01,10.63360,107.3252,11.0330,38.717
2014-11-28,10.63650,107.3499,11.0356,38.655
2014-11-27,10.63550,107.3199,11.0348,38.523
2014-11-26,10.62620,107.1091,11.0337,38.551
2014-11-25,10.57970,106.5608,11.0249,38.434
2014-11-24,10.56770,106.5591,11.0345,38.452
2014-11-21,10.57800,106.4209,11.0473,38.382
2014-11-20,10.67760,106.6118,11.0555,38.746
2014-11-19,10.67040,106.2823,11.0555,38.693
2014-11-18,10.65000,105.9146,11.0353,38.466
2014-11-17,10.63350,105.7144,11.0227,38.364
2014-11-14,10.58050,105.4085,11.0385,38.239
2014-11-13,10.60190,105.3491,11.0420,38.141
2014-11-12,10.60690,105.3016,11.0291,38.118
2014-11-11,10.57100,104.5996,11.0390,38.009
2014-11-10,10.62500,105.0169,11.0305,38.147
2014-11-07,10.54090,104.4260,11.0165,37.963
2014-11-06,10.64630,105.1584,11.0605,38.242
2014-11-05,10.61610,104.9105,11.0545,38.187
2014-11-04,10.64690,104.9759,11.0600,38.170
2014-11-03,10.62280,104.9220,11.0565,38.080
2014-10-31,10.65170,104.9422,11.0362,38.134
2014-10-30,10.71300,105.4516,11.0550,38.319
2014-10-29,10.82710,106.1410,11.0945,38.697
2014-10-28,10.82620,106.2153,11.0878,38.736
2014-10-27,10.75880,105.9135,11.0626,38.546
2014-10-24,10.74180,106.2231,11.0840,38.476
2014-10-23,10.75660,105.8696,11.0804,38.516
2014-10-22,10.77700,106.3822,11.0929,38.572
2014-10-21,10.81390,106.2198,11.0969,38.772
2014-10-20,10.82320,106.3804,11.1030,38.801
2014-10-17,10.86940,106.6498,11.1100,38.932
2014-10-16,10.80290,106.2648,11.0826,38.775
2014-10-15,10.73000,105.8258,11.0649,38.476
2014-10-14,10.71810,105.6893,11.0683,38.487
2014-10-13,10.74740,105.8341,11.0875,38.548
2014-10-10,10.70500,105.6633,11.0805,38.431
2014-10-09,10.79560,106.2906,11.1031,38.721
2014-10-08,10.69070,105.4126,11.0815,38.482
2014-10-07,10.67880,105.4586,11.0799,38.378
2014-10-06,10.61180,104.9860,11.0675,38.240
2014-10-03,10.64850,105.1593,11.0700,38.417
2014-10-02,10.67380,105.1932,11.0795,38.435
2014-10-01,10.62870,105.0163,11.0769,38.350
2014-09-30,10.67160,104.8307,11.0743,38.301
2014-09-29,10.73000,104.7390,11.0954,38.726
2014-09-26,10.72160,104.9230,11.1003,38.577
2014-09-25,10.70000,104.8143,11.0972,38.547
2014-09-24,10.80720,105.0457,11.0862,38.746
2014-09-23,10.86540,104.9852,11.1264,38.971
2014-09-22,10.81610,104.5502,11.1145,38.850
2014-09-19,10.80000,104.4198,11.1155,38.831
2014-09-18,10.81380,104.2781,11.1231,38.954
2014-09-17,10.88470,104.7144,11.1363,39.076
2014-09-16,10.87940,104.6898,11.1335,39.033
2014-09-15,10.84650,104.4838,11.1277,38.907
2014-09-12,10.86270,104.7133,11.1285,38.822
2014-09-11,10.86000,104.6065,11.1280,38.804
2014-09-10,10.86390,104.6120,11.1280,38.785
2014-09-09,10.84410,104.5217,11.1235,38.651
2014-09-08,10.89550,104.6602,11.1305,38.742
2014-09-05,10.87830,104.7609,11.1315,38.774
2014-09-04,10.95280,104.6544,11.1425,38.913
2014-09-03,11.04750,105.6833,11.1650,39.331
2014-09-02,11.02050,105.4818,11.1575,39.273
2014-09-01,11.03340,105.5424,11.1605,39.227
2014-08-29,11.07990,105.8673,11.1719,39.400
2014-08-28,11.07680,105.8773,11.1659,39.474
2014-08-27,11.05770,105.7914,11.1696,39.374
2014-08-26,11.07070,105.9170,11.1750,39.496
2014-08-25,11.07810,106.0566,11.1680,39.571
2014-08-22,11.13600,106.2863,11.1860,39.759
2014-08-21,11.03730,106.2803,11.1780,39.784
2014-08-20,11.00310,106.5017,11.1816,39.834
2014-08-19,11.05070,106.7557,11.1967,40.040
2014-08-18,11.07480,106.9009,11.2010,40.120
2014-08-15,11.07920,106.9565,11.1741,40.096
2014-08-14,11.06010,106.7969,11.1940,40.095
2014-08-13,11.04040,106.8014,11.1955,40.105
2014-08-12,11.03000,106.5427,11.1985,40.152
2014-08-11,11.06540,106.9351,11.1985,40.163
2014-08-08,11.06380,106.8192,11.1993,40.170
2014-08-07,11.05030,106.8869,11.1986,40.132
2014-08-06,11.02630,106.7384,11.1925,40.062
2014-08-05,11.05520,106.9852,11.1980,40.114
2014-08-04,11.05400,107.1386,11.2035,40.253
2014-08-01,11.00230,106.9954,11.2022,40.250
2014-07-31,10.95140,106.8998,11.1978,40.191
2014-07-30,10.96940,106.9961,11.1754,40.157
2014-07-29,10.98080,107.1120,11.1799,40.238
2014-07-28,10.97210,107.1182,11.2082,40.259
2014-07-25,10.97780,107.1044,11.2290,40.284
2014-07-24,11.00460,107.3365,11.2035,40.377
2014-07-23,11.00020,107.2393,11.2105,40.338
2014-07-22,11.00480,107.2962,11.2150,40.434
2014-07-21,11.01350,107.4225,11.2180,40.521
2014-07-18,11.01950,107.5693,11.2195,40.553
2014-07-17,11.01990,107.5246,11.2218,40.570
2014-07-16,11.02590,107.5491,11.2205,40.584
2014-07-15,11.09190,108.0544,11.2347,40.823
2014-07-14,11.10870,108.1448,11.2372,40.813
2014-07-11,11.07000,108.0267,11.2300,40.719
2014-07-10,11.07430,107.9192,11.2315,40.721
2014-07-09,11.07000,107.9669,11.2305,40.670
2014-07-08,11.05940,107.8892,11.2290,40.627
2014-07-07,11.06220,107.8951,11.2295,40.678
2014-07-04,11.06000,107.9642,11.2285,40.604
2014-07-03,11.10510,108.2736,11.2370,40.783
2014-07-02,11.10400,108.1936,11.2385,40.799
2014-07-01,11.13040,108.4250,11.2430,40.932
2014-06-30,11.10640,108.2032,11.2395,40.793
2014-06-27,11.07370,108.1427,11.2335,40.711
2014-06-26,11.06600,108.0511,11.2338,40.706
2014-06-25,11.07340,108.0100,11.2325,40.829
2014-06-24,11.07580,108.0422,11.2330,40.796
2014-06-23,11.05420,107.9913,11.2300,40.789
2014-06-20,11.04770,107.8178,11.2285,40.770
2014-06-19,11.07030,107.9009,11.2335,40.834
2014-06-18,11.02400,107.5425,11.2250,40.708
2014-06-17,11.03150,107.5987,11.2255,40.723
2014-06-16,11.00250,107.4015,11.2205,40.633
2014-06-13,10.99980,107.5582,11.2205,40.638
2014-06-12,10.99560,107.4438,11.2195,40.539
2014-06-11,11.01300,107.5097,11.2251,40.646
2014-06-10,11.01100,107.5530,11.1973,40.643
2014-06-09,11.08100,107.8356,11.2315,40.827
2014-06-06,11.07800,108.0622,11.2365,40.967
2014-06-05,10.99810,107.4311,11.2255,40.737
2014-06-04,11.02830,107.8388,11.2345,40.950
2014-06-03,11.02580,108.0511,11.2370,40.993
2014-06-02,10.99560,107.8257,11.2065,40.894
2014-05-30,10.98660,107.7250,11.2315,40.820
2014-05-29,10.99100,107.7628,11.2349,40.812
2014-05-28,10.97210,107.7822,11.2245,40.966
2014-05-27,10.99670,107.9733,11.2355,41.093
2014-05-26,10.99080,108.0200,11.2325,41.041
2014-05-23,10.98690,108.0025,11.2205,41.049
2014-05-22,11.01570,108.1094,11.2375,41.196
2014-05-21,11.02260,108.1101,11.2385,41.297
2014-05-20,11.05130,108.2318,11.2425,41.345
2014-05-19,11.05500,108.3075,11.2214,41.371
2014-05-16,11.03560,108.5279,11.2415,41.296
2014-05-15,10.95550,108.2619,11.2393,41.218
2014-05-14,11.00370,108.1669,11.2400,41.358
2014-05-13,10.97950,108.0808,11.2425,41.391
2014-05-12,11.01480,108.3962,11.2384,41.605
2014-05-09,11.02550,108.4581,11.2535,41.507
2014-05-08,11.16340,109.2837,11.2814,41.955
2014-05-07,11.14440,109.1304,11.2779,41.961
2014-05-06,11.15770,109.2660,11.2623,41.981
2014-05-05,11.09990,108.8548,11.2704,41.747
2014-05-02,11.09060,108.8957,11.2710,41.807
2014-04-30,11.08110,108.8369,11.2635,41.824
2014-04-29,11.06190,108.7102,11.2600,41.729
2014-04-28,11.08990,108.9109,11.2655,41.924
2014-04-25,11.06590,108.7411,11.2605,41.883
2014-04-24,11.05710,108.6857,11.2595,41.861
2014-04-23,11.06830,108.7437,11.2352,41.948
2014-04-22,11.05800,108.6772,11.2361,41.861
2014-04-17,11.08510,108.7640,11.2670,41.767
2014-04-16,11.07310,108.7696,11.2650,41.725
2014-04-15,11.04350,108.6090,11.2620,41.620
2014-04-14,11.06200,108.7850,11.2635,41.760
2014-04-11,11.09860,108.9336,11.2695,41.728
2014-04-10,11.09470,109.2004,11.2690,41.606
