Name,Symbol,Start Date,Hist.,Category,From Currency,To Currency,Source,Full Name,Activity
DKK TO USD 1Y FWD PTS,DKK1YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 1 Year Forward PTS,Active
DKK TO USD 20:00 HOURLY,DKK20HR,2010/3/30,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 20:00 Hourly,Active
DKK TO USD 21:00 HOURLY,DKK21HR,2010/3/30,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 21:00 Hourly,Active
DKK TO USD 22:00 HOURLY,DKK22HR,2010/3/30,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 22:00 Hourly,Active
DKK TO USD 23:00 HOURLY,DKK23HR,2010/3/30,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 23:00 Hourly,Active
DKK TO USD 2WEEK FORWARD,TDDKK2W,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 2WEEK Forward,Active
DKK TO USD 2Y FWD PTS,DKK2YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 2 Year Forward PTS,Active
DKK TO USD 3M FWD PTS,DKK3MFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 3 Month Forward PTS,Active
DKK TO USD 3WEEK FORWARD,TDDKK3W,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 3WEEK Forward,Active
DKK TO USD 3Y FWD PTS,DKK3YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 3 Year Forward PTS,Active
DKK TO USD 3YEAR FORWARD,TDDKK3Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 3YEAR Forward,Active
DKK TO USD 4MONTH FORWARD,TDDKK4M,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 4MONTH Forward,Active
DKK TO USD 4Y FWD PTS,DKK4YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 4 Year Forward PTS,Active
DKK TO USD 4YEAR FORWARD,TDDKK4Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 4YEAR Forward,Active
DKK TO USD 5MONTH FORWARD,TDDKK5M,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 5MONTH Forward,Active
DKK TO USD 5Y FWD PTS,DKK5YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 5 Year Forward PTS,Active
DKK TO USD 5YEAR FORWARD,TDDKK5Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 5YEAR Forward,Active
DKK TO USD 6M FWD PTS,DKK6MFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 6 Month Forward PTS,Active
DKK TO USD 6Y FWD PTS,DKK6YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 6 Year Forward PTS,Active
DKK TO USD 6YEAR FORWARD,TDDKK6Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 6YEAR Forward,Active
DKK TO USD 7MONTH FORWARD,TDDKK7M,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 7MONTH Forward,Active
DKK TO USD 7Y FWD PTS,DKK7YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 7 Year Forward PTS,Active
DKK TO USD 8MONTH FORWARD,TDDKK8M,2007/3/2,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 8MONTH Forward,Active
DKK TO USD 8Y FWD PTS,DKK8YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 8 Year Forward PTS,Active
DKK TO USD 8YEAR FORWARD,TDDKK8Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 8YEAR Forward,Active
DKK TO USD 9M FWD PTS,DKK9MFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 9 Month Forward PTS,Active
DKK TO USD 9Y FWD PTS,DKK9YFP,2010/5/17,2010,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 9 Year Forward PTS,Active
DKK TO USD 9YEAR FORWARD,TDDKK9Y,2007/3/6,2007,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,DKK to USD 9YEAR Forward,Active
DKK TO USD PTAX (BR),DKUSCBR,2003/1/3,2003,Exchange Rates,Danish Krone,United States Dollar,Banco Central do Brasil,DKK to USD Ptax (BR),Active
DNB FIXING USD/NLG,NLFUSNL,1978/12/28,1978,Exchange Rates,United States Dollar,United States Dollar,DNB - De Nederlandsche Bank,DNB Fixing USD / NLG,Active
DOMINICAN REP. PESO TO US $ (RFV),TDDOPSP,1994/9/22,1994,Exchange Rates,Dominican Peso,United States Dollar,Refinitiv,Dominican Republic Peso to United States Dollar (Refinitiv),Active
DOMINICAN REP. PESO TO US $ (WMR),DOMPES$,2004/1/12,2004,Exchange Rates,Dominican Peso,United States Dollar,WM/Reuters,Dominican Republic Peso to United States Dollar (WMR),Active
DOP TO USD PTAX (BR),DOUSCBR,2011/10/7,2011,Exchange Rates,-,United States Dollar,-,DOP to USD Ptax (BR),Active
DZD TO USD PTAX (BR),DZUSCBR,2011/10/7,2011,Exchange Rates,-,United States Dollar,-,DZD to USD Ptax (BR),Active
EAST CARIBBEAN $ TO US $ (RFV),TDXCDSP,1996/3/6,1996,Exchange Rates,East Caribbean Dollar,United States Dollar,Refinitiv,East Caribbean$ to United States Dollar (Refinitiv),Active
ECUADOR SUCRE TO US $ FLOAT(RFV),USECSCF,1986/1/2,1986,Exchange Rates,Ecuadorian Sucre,United States Dollar,GTIS - FTID/TR,Ecuador Sucre to United States Dollar Float (Refinitiv),Active
ECUADOR SUCRE TO US $ OFFICAL,USECSCO,1986/1/2,1986,Exchange Rates,Ecuadorian Sucre,United States Dollar,Refinitiv,Ecuador Sucre to United States Dollar Offical,Active
EGP TO USD 12MONTH FORWARD,TDEGP1Y,-,-,Exchange Rates,Egyptian Pound,United States Dollar,Refinitiv,EGP to USD 12MONTH Forward,Active
EGP TO USD 1MONTH FORWARD,TDEGP1F,-,-,Exchange Rates,Egyptian Pound,United States Dollar,Refinitiv,EGP to USD 1MONTH Forward,Active
EGP TO USD 3MONTH FORWARD,TDEGP3F,-,-,Exchange Rates,Egyptian Pound,United States Dollar,Refinitiv,EGP to USD 3MONTH Forward,Active
EGP TO USD 6MONTH FORWARD,TDEGP6F,-,-,Exchange Rates,Egyptian Pound,United States Dollar,Refinitiv,EGP to USD 6MONTH Forward,Active
EGP TO USD PTAX (BR),EGUSCBR,2003/1/3,2003,Exchange Rates,Egyptian Pound,United States Dollar,Banco Central do Brasil,EGP to USD Ptax (BR),Active
EGYPTIAN POUND TO US $ 1M NDF (TP),PDEGP1M,2006/6/7,2006,Exchange Rates,Egyptian Pound,United States Dollar,Tullett Prebon,Egyptian Pound to United States Dollar 1 Month Non Deliverable Forward (TP),Active
EGYPTIAN POUND TO US $ 1M NDF (WMR),USEGP1F,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 1 Month Non Deliverable Forward (WMR),Active
EGYPTIAN POUND TO US $ 1Y NDF (TP),PDEGP1Y,2006/6/7,2006,Exchange Rates,Egyptian Pound,United States Dollar,Tullett Prebon,Egyptian Pound to United States Dollar 1 Year Non Deliverable Forward (TP),Active
EGYPTIAN POUND TO US $ 1Y NDF (WMR),USEGP1Y,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 1 Year Non Deliverable Forward (WMR),Active
EGYPTIAN POUND TO US $ 2M NDF (TP),PDEGP2M,2006/6/7,2006,Exchange Rates,Egyptian Pound,United States Dollar,Tullett Prebon,Egyptian Pound to United States Dollar 2 Month Non Deliverable Forward (TP),Active
EGYPTIAN POUND TO US $ 2M NDF (WMR),USEGP2F,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 2 Month Non Deliverable Forward (WMR),Active
EGYPTIAN POUND TO US $ 3M NDF (TP),PDEGP3M,2006/6/7,2006,Exchange Rates,Egyptian Pound,United States Dollar,Tullett Prebon,Egyptian Pound to United States Dollar 3 Month Non Deliverable Forward (TP),Active
EGYPTIAN POUND TO US $ 3M NDF (WMR),USEGP3F,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 3 Month Non Deliverable Forward (WMR),Active
EGYPTIAN POUND TO US $ 6M NDF (TP),PDEGP6M,2006/6/7,2006,Exchange Rates,Egyptian Pound,United States Dollar,Tullett Prebon,Egyptian Pound to United States Dollar 6 Month Non Deliverable Forward (TP),Active
EGYPTIAN POUND TO US $ 6M NDF (WMR),USEGP6F,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 6 Month Non Deliverable Forward (WMR),Active
EGYPTIAN POUND TO US $ 9M NDF (WMR),USEGP9F,2004/3/29,2004,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar 9 Month Non Deliverable Forward (WMR),Active
EL SALVADOR COLON TO US $ (RFV),TDSVCSP,1998/11/25,1998,Exchange Rates,Salvadoran Colon,United States Dollar,Refinitiv,El Salvador Colon to United States Dollar (Refinitiv),Active
EL SALVADOR COLON TO US $ (WMR),ELSALV$,2004/1/12,2004,Exchange Rates,Salvadoran Colon,United States Dollar,WM/Reuters,El Salvador Colon to United States Dollar (WMR),Active
ERI(RFV)EAN NAFKA TO US (RFV),TDERNSP,2000/5/11,2000,Exchange Rates,Eritrean Nakfa,United States Dollar,Refinitiv,ERI (Refinitiv) EAN Nafka to US (Refinitiv),Active
ERN TO USD PTAX (BR),ERUSCBR,2011/10/7,2011,Exchange Rates,-,United States Dollar,-,ERN to USD Ptax (BR),Active
ESTONIAN KROON TO US $ (RFV),TDEEKSP,1994/9/7,1994,Exchange Rates,Estonian Kroon,United States Dollar,Refinitiv,Estonian Kroon to United States Dollar (Refinitiv),Active
ESTONIAN KROON TO US $ 1M FWD (WMR),USEEK1F,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 1 Month Forward (WMR),Active
ESTONIAN KROON TO US $ 1W FWD (WMR),USEEK1W,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 1 Week Forward (WMR),Active
ESTONIAN KROON TO US $ 1Y FWD (WMR),USEEK1Y,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 1 Year Forward (WMR),Active
ESTONIAN KROON TO US $ 2M FWD (WMR),USEEK2F,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 2 Month Forward (WMR),Active
ESTONIAN KROON TO US $ 3M FWD (WMR),USEEK3F,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 3 Month Forward (WMR),Active
ESTONIAN KROON TO US $ 6M FWD (WMR),USEEK6F,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 6 Month Forward (WMR),Active
ESTONIAN KROON TO US $ 9M FWD (WMR),USEEK9F,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar 9 Month Forward (WMR),Active
ESTONIAN KROON TO US $ ON FWD (WMR),USEEKON,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar On Forward (WMR),Active
ESTONIAN KROON TO US $ TN FWD (WMR),USEEKTN,2004/3/29,2004,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar TN Forward (WMR),Active
ETB TO USD PTAX (BR),ETUSCBR,2011/10/7,2011,Exchange Rates,-,United States Dollar,-,ETB to USD Ptax (BR),Active
ETHIOPIAN BIRR TO US $ (RFV),TDETBSP,1992/2/4,1992,Exchange Rates,Ethiopian Birr,United States Dollar,Refinitiv,Ethiopian Birr to United States Dollar (Refinitiv),Active
ETHIOPIAN BIRR TO US $ (WMR),ETHIOP$,2004/1/12,2004,Exchange Rates,Ethiopian Birr,United States Dollar,WM/Reuters,Ethiopian Birr to United States Dollar (WMR),Active
EURO TO US $ (BBI),BBEURSP,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar (BBI),Active
EURO TO US $ (BOE),BOECEUR,2007/3/5,2007,Exchange Rates,Euro,United States Dollar,Bank of England,Euro to United States Dollar (BOE),Active
EURO TO US $ (DEM HISTORY) (BBI),BBDM.SP,1983/10/11,1983,Exchange Rates,-,United States Dollar,-,Euro to United States Dollar (DEM History) (BBI),Active
EURO TO US $ (ECU HISTORY),ECUNIT$,1979/6/6,1979,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar (ECU History),Active
EURO TO US $ 1M FWD (BBI),BBEUR1F,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar 1 Month Forward (BBI),Active
EURO TO US $ 1M FWD (DEM HIST) (BBI),BBDM.1F,1983/10/11,1983,Exchange Rates,-,United States Dollar,-,Euro to United States Dollar 1 Month Forward (DEM Hist) (BBI),Active
EURO TO US $ 1W (RFV),EUDOL1W,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 1 Week (Refinitiv),Active
EURO TO US $ 1Y FWD (BBI),BBEURYF,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar 1 Year Forward (BBI),Active
EURO TO US $ 1Y FWD (RFV),EUDOL1Y,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 1 Year Forward (Refinitiv),Active
EURO TO US $ 2M FWD (BBI),BBEUR2F,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar 2 Month Forward (BBI),Active
EURO TO US $ 2M FWD (RFV),EUDOL2F,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 2 Month Forward (Refinitiv),Active
EURO TO US $ 2Y FWD (RFV),EUDOL2Y,2004/3/29,2004,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 2 Year Forward (Refinitiv),Active
EURO TO US $ 3M FWD (BBI),BBEUR3F,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar 3 Month Forward (BBI),Active
EURO TO US $ 5Y FWD (RFV),EUDOL5Y,2004/3/29,2004,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 5 Year Forward (Refinitiv),Active
EURO TO US $ 6M FWD (BBI),BBEUR6F,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Barclays Bank PLC,Euro to United States Dollar 6 Month Forward (BBI),Active
EURO TO US $ 6M FWD (RFV),EUDOL6F,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 6 Month Forward (Refinitiv),Active
EURO TO US $ 9M FWD (RFV),EUDOL9F,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 9 Month Forward (Refinitiv),Active
EURO TO US $ O/N FWD (RFV),EUDOLON,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar Overnight Forward (Refinitiv),Active
EURO TO US $ SYNTHETIC (RFV),EMUSDWD,1979/12/31,1979,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar Synthetic (Refinitiv),Active
EURO TO US $ T/N FWD (RFV),EUDOLTN,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar Tomorrow Next Forward (Refinitiv),Active
EURO TO USD 1Y FX VOLATILITY,FVEUR1Y,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to USD 1 Year FX Volatility,Active
EURO TO USD 2M FX VOLATILITY,FVEUR2M,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to USD 2 Month FX Volatility,Active
EURO TO USD 3M FX VOLATILITY,FVEUR3M,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to USD 3 Month FX Volatility,Active
EURO TO USD 6M FX VOLATILITY,FVEUR6M,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to USD 6 Month FX Volatility,Active
EURO TO USD 9M FX VOLATILITY,FVEUR9M,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to USD 9 Month FX Volatility,Active
FIJIAN $ TO US $ (RFV),USFIJID,2000/11/29,2000,Exchange Rates,Fijian Dollar,United States Dollar,GTIS - FTID/TR,Fijian Dollar to United States Dollar (Refinitiv),Active
FIJIAN $ TO US $ (RFV),TDFJDSP,1996/1/2,1996,Exchange Rates,Fijian Dollar,United States Dollar,Refinitiv,Fijian Dollar to United States Dollar (Refinitiv),Active
FIJIAN $ TO US $ (WMR),FIJDOL$,1998/12/1,1998,Exchange Rates,Fijian Dollar,United States Dollar,WM/Reuters,Fijian Dollar to United States Dollar (WMR),Active
FINNISH MARKKA TO US $ 1M FWD (WMR),USFIM1F,1996/12/31,1996,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 1 Month Forward (WMR),Active
FINNISH MARKKA TO US $ 1W FWD (WMR),USFIMWF,1997/10/27,1997,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 1 Week Forward (WMR),Active
FINNISH MARKKA TO US $ 1Y FWD (WMR),USFIMYF,1996/12/31,1996,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 1 Year Forward (WMR),Active
FINNISH MARKKA TO US $ 2M FWD (WMR),USFIM2F,1996/12/31,1996,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 2 Month Forward (WMR),Active
FINNISH MARKKA TO US $ 2Y FWD (WMR),USFIM2Y,2004/3/29,2004,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 2 Year Forward (WMR),Active
FINNISH MARKKA TO US $ 3M FWD (WMR),USFIM3F,1996/12/31,1996,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 3 Month Forward (WMR),Active
FINNISH MARKKA TO US $ 5Y FWD (WMR),USFIM5Y,2004/3/29,2004,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 5 Year Forward (WMR),Active
FINNISH MARKKA TO US $ 6M FWD (WMR),USFIM6F,1996/12/31,1996,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 6 Month Forward (WMR),Active
FINNISH MARKKA TO US $ 9M FWD (WMR),USFIM9F,1997/10/27,1997,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar 9 Month Forward (WMR),Active
FINNISH MARKKA TO US $ O/N FWD (WMR),USFIMON,1997/10/27,1997,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar Overnight Forward (WMR),Active
FINNISH MARKKA TO US $ T/N FWD (WMR),USFIMTN,1997/10/27,1997,Exchange Rates,Finnish Markka,United States Dollar,WM/Reuters,Finnish Markka to United States Dollar Tomorrow Next Forward (WMR),Active
FRENCH FRANC TO US $ (BBI),BBFRFSP,1983/10/11,1983,Exchange Rates,French Franc,United States Dollar,Barclays Bank PLC,French Franc to United States Dollar (BBI),Active
FRENCH FRANC TO US $ 1M FWD (WMR),USFRF1F,1996/12/31,1996,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 1 Month Forward (WMR),Active
FRENCH FRANC TO US $ 1W FWD (WMR),USFRFWF,1997/10/27,1997,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 1 Week Forward (WMR),Active
FRENCH FRANC TO US $ 1Y FWD (WMR),USFRFYF,1996/12/31,1996,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 1 Year Forward (WMR),Active
FRENCH FRANC TO US $ 2M FWD (WMR),USFRF2F,1996/12/31,1996,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 2 Month Forward (WMR),Active
FRENCH FRANC TO US $ 2Y FWD (WMR),USFRF2Y,2004/3/29,2004,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 2 Year Forward (WMR),Active
FRENCH FRANC TO US $ 3M FWD (WMR),USFRF3F,1996/12/31,1996,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 3 Month Forward (WMR),Active
FRENCH FRANC TO US $ 5Y FWD (WMR),USFRF5Y,2004/3/29,2004,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 5 Year Forward (WMR),Active
FRENCH FRANC TO US $ 6M FWD (WMR),USFRF6F,1996/12/31,1996,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 6 Month Forward (WMR),Active
FRENCH FRANC TO US $ 9M FWD (WMR),USFRF9F,1997/10/27,1997,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar 9 Month Forward (WMR),Active
FRENCH FRANC TO US $ O/N FWD (WMR),USFRFON,1997/10/27,1997,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar Overnight Forward (WMR),Active
FRENCH FRANC TO US $ PREMIUM %,FF$PREM,1981/5/26,1981,Exchange Rates,French Franc,United States Dollar,Refinitiv,French Franc to United States Dollar Premium %,Active
FRENCH FRANC TO US $ T/N FWD (WMR),USFRFTN,1997/10/27,1997,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar Tomorrow Next Forward (WMR),Active
FRENCH PACIFIC CFP TO US $ (RFV),TDXPFSP,1998/3/27,1998,Exchange Rates,C.F.P. Franc,United States Dollar,Refinitiv,French Pacific CFP to United States Dollar (Refinitiv),Active
FRENCH PACIFIC CFP TO US $ (WMR),FRPACI$,2004/1/12,2004,Exchange Rates,C.F.P. Franc,United States Dollar,WM/Reuters,French Pacific CFP to United States Dollar (WMR),Active
GAMBIAN DALASI TO US $ (RFV),TDGMDSP,1995/2/1,1995,Exchange Rates,Gambian Dalasi,United States Dollar,Refinitiv,Gambian Dalasi to United States Dollar (Refinitiv),Active
GAMBIAN DALASI TO US $ (WMR),GAMBDL$,1998/12/1,1998,Exchange Rates,Gambian Dalasi,United States Dollar,WM/Reuters,Gambian Dalasi to United States Dollar (WMR),Active
GEL TO USD PTAX (BR),GEUSCBR,2011/10/7,2011,Exchange Rates,-,United States Dollar,-,GEL to USD Ptax (BR),Active
GEORGIAN LARI TO US $ (RFV),TDGELSP,2001/5/7,2001,Exchange Rates,Georgian Lari,United States Dollar,Refinitiv,Georgian Lari to United States Dollar (Refinitiv),Active
GEORGIAN LARI TO US $ (WMR),GEOLAR$,2004/1/1,2004,Exchange Rates,Georgian Lari,United States Dollar,WM/Reuters,Georgian Lari to United States Dollar (WMR),Active
GERMAN MARK TO US $ (BBI),BBDEMSP,1983/10/11,1983,Exchange Rates,German Mark,United States Dollar,Barclays Bank PLC,German Mark to United States Dollar (BBI),Active
GERMAN MARK TO US $ 1M FWD (WMR),USDEM1F,1996/12/31,1996,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 1 Month Forward (WMR),Active
GERMAN MARK TO US $ 1W FWD (WMR),USDEMWF,1997/10/27,1997,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 1 Week Forward (WMR),Active
GERMAN MARK TO US $ 1Y FWD (WMR),USDEMYF,1996/12/31,1996,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 1 Year Forward (WMR),Active
GERMAN MARK TO US $ 2M FWD (WMR),USDEM2F,1996/12/31,1996,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 2 Month Forward (WMR),Active
GERMAN MARK TO US $ 2Y FWD (WMR),USDEM2Y,2004/3/29,2004,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 2 Year Forward (WMR),Active
GERMAN MARK TO US $ 3M FWD (WMR),USDEM3F,1996/12/31,1996,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 3 Month Forward (WMR),Active
GERMAN MARK TO US $ 5Y FWD (WMR),USDEM5Y,2004/3/29,2004,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 5 Year Forward (WMR),Active
GERMAN MARK TO US $ 6M FWD (WMR),USDEM6F,1996/12/31,1996,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 6 Month Forward (WMR),Active
GERMAN MARK TO US $ 9M FWD (WMR),USDEM9F,1997/10/27,1997,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar 9 Month Forward (WMR),Active
GERMAN MARK TO US $ O/N FWD (WMR),USDEMON,1997/10/27,1997,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar Overnight Forward (WMR),Active
GERMAN MARK TO US $ T/N FWD (WMR),USDEMTN,1997/10/27,1997,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar Tomorrow Next Forward (WMR),Active
GHANA CEDI TO US $ 1Y FWD,GHSUS1Y,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 1 Year Forward,Active
GHANA CEDI TO US $ 2M FWD,GHSUS2M,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 2 Month Forward,Active
GHANA CEDI TO US $ 2Y FWD,GHSUS2Y,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 2 Year Forward,Active
GHANA CEDI TO US $ 3M FWD,GHSUS3M,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 3 Month Forward,Active
GHANA CEDI TO US $ 6M FWD,GHSUS6M,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 6 Month Forward,Active
GHANA CEDI TO US $ 9M FWD,GHSUS9M,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar 9 Month Forward,Active
GHANA CEDI TO US $ SW FWD,GHSUSSW,2011/7/8,2011,Exchange Rates,Ghanaian Cedi,United States Dollar,WM/Reuters,Ghana Cedi to United States Dollar SW Forward,Active
